ObsID,Name,Beam,RA,Dec,sigma_in,sigma_out,R,MaxNeg,Ex-2
190807041,M1403+5324,1,208.298547,52.388019,45.4,41.8,1.09,1.4,150.0
190807041,M1403+5324,8,208.691078,52.793367,41.5,37.6,1.1,1.5,198.0
190807041,M1403+5324,15,209.083609,53.198715,38.3,35.0,1.1,1.5,177.0
190807041,M1403+5324,32,213.008922,54.009411,56.9,48.9,1.16,2.0,384.0
190807041,M1403+5324,33,208.691078,54.414759,50.1,41.1,1.22,2.3,494.0
190807042,M0155+3130,1,27.044835,30.499130,55.1,49.2,1.12,1.7,161.0
190807042,M0155+3130,3,28.142885,30.499130,38.8,34.1,1.14,1.8,194.0
190807042,M0155+3130,6,29.789961,30.499130,51.1,41.9,1.22,2.4,345.0
190807042,M0155+3130,8,27.319347,30.904478,50.7,45.6,1.11,1.6,147.0
190807042,M0155+3130,10,28.417398,30.904478,40.3,33.4,1.21,2.2,302.0
190807042,M0155+3130,11,28.966423,30.904478,39.8,34.6,1.15,1.8,202.0
190807042,M0155+3130,15,27.593860,31.309826,45.7,40.0,1.14,1.7,177.0
190807042,M0155+3130,23,28.417398,31.715174,37.3,30.6,1.22,2.4,346.0
190807042,M0155+3130,33,27.319347,32.525870,50.8,43.2,1.18,2.1,281.0
190807042,M0155+3130,34,27.868373,32.525870,44.7,37.6,1.19,2.1,288.0
190807042,M0155+3130,38,30.064474,32.525870,42.2,38.3,1.1,1.6,156.0
190808041,S2306+3130,3,345.980385,30.499130,40.5,35.5,1.14,1.7,178.0
190808041,S2306+3130,4,346.529411,30.499130,42.1,37.2,1.13,1.7,175.0
190808041,S2306+3130,5,347.078436,30.499130,46.8,39.2,1.19,2.0,262.0
190808041,S2306+3130,8,345.156847,30.904478,54.4,46.8,1.16,2.0,243.0
190808041,S2306+3130,9,345.705873,30.904478,47.1,38.6,1.22,2.3,316.0
190808041,S2306+3130,10,346.254898,30.904478,39.7,33.3,1.19,2.2,288.0
190808041,S2306+3130,15,345.431360,31.309826,48.1,41.1,1.17,1.9,226.0
190808041,S2306+3130,18,347.078436,31.309826,43.8,36.9,1.19,2.2,301.0
190808041,S2306+3130,19,347.627461,31.309826,43.4,39.4,1.1,1.6,149.0
190808041,S2306+3130,20,348.176487,31.309826,46.9,42.4,1.11,1.5,138.0
190808041,S2306+3130,23,346.254898,31.715174,38.8,32.7,1.18,2.0,254.0
190808041,S2306+3130,24,346.803923,31.715174,44.6,36.8,1.21,2.3,327.0
190808041,S2306+3130,25,347.352949,31.715174,42.6,36.2,1.18,2.0,240.0
190808041,S2306+3130,26,347.901974,31.715174,44.3,38.7,1.14,1.7,185.0
190808041,S2306+3130,28,345.980385,32.120522,40.3,35.6,1.13,1.8,198.0
190808041,S2306+3130,29,346.529411,32.120522,36.6,32.6,1.12,1.7,173.0
190808041,S2306+3130,31,347.627461,32.120522,38.8,34.0,1.14,1.8,200.0
